2025-11-19 14:32:54 - 8_0.4_1 - INFO - ================================================
2025-11-19 14:32:54 - 8_0.4_1 - INFO - 日志文件已创建: logs/cifar-100/dpfpl/8_0.4_1_20251119_143254.log
2025-11-19 14:32:54 - 8_0.4_1 - INFO - ================================================
2025-11-19 14:32:54 - 8_0.4_1 - INFO - 
2025-11-19 14:32:54 - 8_0.4_1 - INFO - ======================================================================
2025-11-19 14:32:54 - 8_0.4_1 - INFO - 📋 实验配置摘要
2025-11-19 14:32:54 - 8_0.4_1 - INFO - ======================================================================
2025-11-19 14:32:54 - 8_0.4_1 - INFO -   Task ID:      [39/60]
2025-11-19 14:32:54 - 8_0.4_1 - INFO -   数据集:       cifar-100
2025-11-19 14:32:54 - 8_0.4_1 - INFO -   模型方法:     dpfpl
2025-11-19 14:32:54 - 8_0.4_1 - INFO -   Rank:         8
2025-11-19 14:32:54 - 8_0.4_1 - INFO -   噪声级别:     0.4
2025-11-19 14:32:54 - 8_0.4_1 - INFO -   随机种子:     1
2025-11-19 14:32:54 - 8_0.4_1 - INFO -   客户端数量:   50
2025-11-19 14:32:54 - 8_0.4_1 - INFO -   数据划分:     noniid-labeldir
2025-11-19 14:32:54 - 8_0.4_1 - INFO -   训练轮次:     30
2025-11-19 14:32:54 - 8_0.4_1 - INFO - ======================================================================
2025-11-19 14:32:54 - 8_0.4_1 - INFO - 
2025-11-19 14:32:54 - 8_0.4_1 - INFO - Loading trainer: DP_FPL
2025-11-19 14:32:54 - 8_0.4_1 - INFO - Loading dataset: Cifar100
2025-11-19 14:32:56 - 8_0.4_1 - INFO - Loading CLIP (backbone: ViT-B/16)
2025-11-19 14:32:58 - 8_0.4_1 - INFO - Building custom CLIP
2025-11-19 14:32:58 - 8_0.4_1 - INFO - Turning off gradients in both the image and the text encoder
2025-11-19 14:33:42 - 8_0.4_1 - INFO - [Epoch 1/30] 训练耗时: 44.08s | 平均训练准确率: 34.09
2025-11-19 14:34:24 - 8_0.4_1 - INFO - [Epoch 2/30] 训练耗时: 41.76s | 平均训练准确率: 55.33
2025-11-19 14:35:06 - 8_0.4_1 - INFO - [Epoch 3/30] 训练耗时: 42.09s | 平均训练准确率: 59.38
2025-11-19 14:35:48 - 8_0.4_1 - INFO - [Epoch 4/30] 训练耗时: 42.20s | 平均训练准确率: 60.66
2025-11-19 14:36:31 - 8_0.4_1 - INFO - [Epoch 5/30] 训练耗时: 42.66s | 平均训练准确率: 61.30
2025-11-19 14:37:13 - 8_0.4_1 - INFO - [Epoch 6/30] 训练耗时: 42.06s | 平均训练准确率: 61.34
2025-11-19 14:37:55 - 8_0.4_1 - INFO - [Epoch 7/30] 训练耗时: 42.05s | 平均训练准确率: 61.20
2025-11-19 14:38:37 - 8_0.4_1 - INFO - [Epoch 8/30] 训练耗时: 42.02s | 平均训练准确率: 62.59
2025-11-19 14:39:20 - 8_0.4_1 - INFO - [Epoch 9/30] 训练耗时: 42.53s | 平均训练准确率: 63.33
2025-11-19 14:40:01 - 8_0.4_1 - INFO - [Epoch 10/30] 训练耗时: 41.83s | 平均训练准确率: 62.55
2025-11-19 14:40:44 - 8_0.4_1 - INFO - [Epoch 11/30] 训练耗时: 42.83s | 平均训练准确率: 62.47
2025-11-19 14:41:27 - 8_0.4_1 - INFO - [Epoch 12/30] 训练耗时: 42.29s | 平均训练准确率: 62.23
2025-11-19 14:42:09 - 8_0.4_1 - INFO - [Epoch 13/30] 训练耗时: 42.46s | 平均训练准确率: 62.42
2025-11-19 14:42:52 - 8_0.4_1 - INFO - [Epoch 14/30] 训练耗时: 42.85s | 平均训练准确率: 62.88
2025-11-19 14:43:35 - 8_0.4_1 - INFO - [Epoch 15/30] 训练耗时: 42.97s | 平均训练准确率: 62.70
2025-11-19 14:44:17 - 8_0.4_1 - INFO - [Epoch 16/30] 训练耗时: 42.53s | 平均训练准确率: 62.30
2025-11-19 14:45:00 - 8_0.4_1 - INFO - [Epoch 17/30] 训练耗时: 42.67s | 平均训练准确率: 63.67
2025-11-19 14:45:43 - 8_0.4_1 - INFO - [Epoch 18/30] 训练耗时: 42.82s | 平均训练准确率: 63.05
2025-11-19 14:46:25 - 8_0.4_1 - INFO - [Epoch 19/30] 训练耗时: 42.48s | 平均训练准确率: 62.83
2025-11-19 14:47:07 - 8_0.4_1 - INFO - [Epoch 20/30] 训练耗时: 41.59s | 平均训练准确率: 62.75
2025-11-19 14:47:50 - 8_0.4_1 - INFO - [Epoch 21/30] 训练耗时: 43.31s | 平均训练准确率: 62.88
2025-11-19 14:48:33 - 8_0.4_1 - INFO - [Epoch 22/30] 训练耗时: 43.15s | 平均训练准确率: 62.55
2025-11-19 14:49:17 - 8_0.4_1 - INFO - [Epoch 23/30] 训练耗时: 43.06s | 平均训练准确率: 62.55
2025-11-19 14:49:59 - 8_0.4_1 - INFO - [Epoch 24/30] 训练耗时: 42.63s | 平均训练准确率: 62.98
2025-11-19 14:50:42 - 8_0.4_1 - INFO - [Epoch 25/30] 训练耗时: 42.77s | 平均训练准确率: 62.88
2025-11-19 14:51:24 - 8_0.4_1 - INFO - [Epoch 26/30] 训练耗时: 42.30s | 平均训练准确率: 63.14
2025-11-19 14:52:07 - 8_0.4_1 - INFO - [Epoch 27/30] 训练耗时: 42.64s | 平均训练准确率: 62.86
2025-11-19 14:52:49 - 8_0.4_1 - INFO - [Epoch 28/30] 训练耗时: 42.58s | 平均训练准确率: 62.72
2025-11-19 14:52:49 - 8_0.4_1 - INFO - 
2025-11-19 14:52:49 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 14:52:49 - 8_0.4_1 - INFO -                     TEST START - Epoch 28/30
2025-11-19 14:52:49 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 14:52:49 - 8_0.4_1 - INFO - 
2025-11-19 14:58:47 - 8_0.4_1 - INFO - 
================= Local Test Results ==================
+-----------+----------+------------+----------+
| Client    | Accuracy | Error Rate | Macro F1 |
| Client 21 |    64.05 |      35.95 |    63.10 |
| Client 22 |    64.08 |      35.92 |    63.16 |
| Client 23 |    64.25 |      35.75 |    63.37 |
| Client 24 |    64.19 |      35.81 |    63.30 |
| Client 25 |    64.26 |      35.74 |    63.39 |
| Client 26 |    64.43 |      35.57 |    63.39 |
| Client 27 |    64.38 |      35.62 |    63.54 |
| Client 28 |    64.31 |      35.69 |    63.33 |
| Client 29 |    64.42 |      35.58 |    63.50 |
| Client 30 |    63.89 |      36.11 |    62.96 |
| Client 31 |    64.08 |      35.92 |    63.22 |
| Client 32 |    64.31 |      35.69 |    63.44 |
| Client 33 |    64.42 |      35.58 |    63.39 |
| Client 34 |    64.46 |      35.54 |    63.51 |
| Client 35 |    64.44 |      35.56 |    63.54 |
| Client 36 |    64.42 |      35.58 |    63.38 |
| Client 37 |    64.48 |      35.52 |    63.56 |
| Client 38 |    64.23 |      35.77 |    63.31 |
| Client 39 |    64.64 |      35.36 |    63.69 |
| Client 40 |    64.27 |      35.73 |    63.42 |
| Client 41 |    64.71 |      35.29 |    63.63 |
| Client 42 |    64.12 |      35.88 |    63.20 |
| Client 43 |    64.00 |      36.00 |    63.19 |
| Client 44 |    64.35 |      35.65 |    63.41 |
| Client 45 |    64.45 |      35.55 |    63.46 |
| Client 46 |    64.07 |      35.93 |    63.06 |
| Client 47 |    64.04 |      35.96 |    63.07 |
| Client 48 |    64.26 |      35.74 |    63.29 |
| Client 49 |    64.06 |      35.94 |    63.12 |
| Average   |    64.24 |      35.76 |    63.31 |
+-----------+----------+------------+----------+

2025-11-19 15:05:26 - 8_0.4_1 - INFO - 
2025-11-19 15:05:26 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 15:05:26 - 8_0.4_1 - INFO -                     TEST FINISH - Epoch 29/30
2025-11-19 15:05:26 - 8_0.4_1 - INFO -                     测试耗时: 357.14s
2025-11-19 15:05:26 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 15:05:26 - 8_0.4_1 - INFO - 
2025-11-19 15:06:09 - 8_0.4_1 - INFO - [Epoch 30/30] 训练耗时: 42.55s | 平均训练准确率: 62.08
2025-11-19 15:06:09 - 8_0.4_1 - INFO - 
2025-11-19 15:06:09 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 15:06:09 - 8_0.4_1 - INFO -                     TEST START - Epoch 30/30
2025-11-19 15:06:09 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 15:06:09 - 8_0.4_1 - INFO - 
2025-11-19 15:12:10 - 8_0.4_1 - INFO - 
================= Local Test Results ==================
+-----------+----------+------------+----------+
| Client    | Accuracy | Error Rate | Macro F1 |
+-----------+----------+------------+----------+
| Client 0  |    70.00 |      30.00 |    66.67 |
| Client 1  |    78.95 |      21.05 |    73.33 |
| Client 2  |    62.16 |      37.84 |    69.55 |
| Client 3  |    67.65 |      32.35 |    62.67 |
| Client 4  |    62.86 |      37.14 |    59.35 |
| Client 5  |    70.00 |      30.00 |    72.55 |
| Client 6  |    67.50 |      32.50 |    60.86 |
| Client 7  |    61.90 |      38.10 |    58.68 |
| Client 8  |    61.36 |      38.64 |    55.27 |
| Client 9  |    75.00 |      25.00 |    76.11 |
| Client 10 |    69.57 |      30.43 |    65.59 |
| Client 11 |    72.50 |      27.50 |    71.37 |
| Client 12 |    57.45 |      42.55 |    58.21 |
| Client 13 |    68.57 |      31.43 |    60.97 |
| Client 14 |    60.00 |      40.00 |    63.17 |
| Client 15 |    55.00 |      45.00 |    48.82 |
| Client 16 |    58.54 |      41.46 |    52.56 |
| Client 17 |    59.09 |      40.91 |    69.51 |
| Client 18 |    63.41 |      36.59 |    65.91 |
| Client 19 |    52.27 |      47.73 |    55.80 |
| Client 20 |    66.67 |      33.33 |    65.02 |
| Client 21 |    69.23 |      30.77 |    67.56 |
| Client 22 |    67.44 |      32.56 |    63.01 |
| Client 23 |    66.67 |      33.33 |    61.87 |
| Client 24 |    64.44 |      35.56 |    64.13 |
| Client 25 |    58.33 |      41.67 |    51.10 |
| Client 26 |    59.18 |      40.82 |    61.78 |
| Client 27 |    62.79 |      37.21 |    58.41 |
| Client 28 |    63.89 |      36.11 |    68.75 |
| Client 29 |    58.54 |      41.46 |    56.55 |
| Client 30 |    83.33 |      16.67 |    84.40 |
| Client 31 |    74.42 |      25.58 |    73.33 |
| Client 32 |    63.89 |      36.11 |    67.33 |
| Client 33 |    63.41 |      36.59 |    62.82 |
| Client 34 |    56.41 |      43.59 |    55.09 |
| Client 35 |    60.47 |      39.53 |    59.49 |
| Client 36 |    60.53 |      39.47 |    66.55 |
| Client 37 |    60.00 |      40.00 |    64.29 |
| Client 38 |    69.57 |      30.43 |    66.36 |
| Client 39 |    50.00 |      50.00 |    53.80 |
| Client 40 |    68.42 |      31.58 |    66.69 |
| Client 41 |    50.00 |      50.00 |    45.94 |
| Client 42 |    73.91 |      26.09 |    77.04 |
| Client 43 |    80.56 |      19.44 |    79.72 |
| Client 44 |    66.67 |      33.33 |    63.24 |
| Client 45 |    51.61 |      48.39 |    57.10 |
| Client 46 |    71.43 |      28.57 |    64.07 |
| Client 47 |    74.19 |      25.81 |    74.51 |
| Client 48 |    58.33 |      41.67 |    54.05 |
| Client 49 |    64.95 |      35.05 |    61.84 |
| Average   |    64.66 |      35.34 |    63.66 |
+-----------+----------+------------+----------+

2025-11-19 15:12:10 - 8_0.4_1 - INFO - 
================= Neighbor Test Results ==================
+-----------+----------+------------+----------+
| Client    | Accuracy | Error Rate | Macro F1 |
+-----------+----------+------------+----------+
| Client 0  |    64.39 |      35.61 |    63.71 |
| Client 1  |    64.31 |      35.69 |    63.70 |
| Client 2  |    64.49 |      35.51 |    63.77 |
| Client 3  |    64.39 |      35.61 |    63.72 |
| Client 4  |    64.48 |      35.52 |    63.87 |
| Client 5  |    64.34 |      35.66 |    63.63 |
| Client 6  |    64.39 |      35.61 |    63.83 |
| Client 7  |    64.50 |      35.50 |    63.86 |
| Client 8  |    64.52 |      35.48 |    63.74 |
| Client 9  |    64.26 |      35.74 |    63.57 |
| Client 10 |    64.33 |      35.67 |    63.70 |
| Client 11 |    64.29 |      35.71 |    63.71 |
| Client 12 |    64.57 |      35.43 |    63.81 |
| Client 13 |    64.38 |      35.62 |    63.72 |
| Client 14 |    64.51 |      35.49 |    63.93 |
| Client 15 |    64.64 |      35.36 |    63.99 |
| Client 16 |    64.57 |      35.43 |    63.84 |
| Client 17 |    64.57 |      35.43 |    63.95 |
| Client 18 |    64.47 |      35.53 |    63.77 |
| Client 19 |    64.72 |      35.28 |    63.91 |
| Client 20 |    64.40 |      35.60 |    63.80 |
| Client 21 |    64.35 |      35.65 |    63.66 |
| Client 22 |    64.38 |      35.62 |    63.72 |
| Client 23 |    64.41 |      35.59 |    63.81 |
| Client 24 |    64.45 |      35.55 |    63.85 |
| Client 25 |    64.56 |      35.44 |    63.97 |
| Client 26 |    64.58 |      35.42 |    63.83 |
| Client 27 |    64.49 |      35.51 |    63.91 |
| Client 28 |    64.46 |      35.54 |    63.73 |
| Client 29 |    64.57 |      35.43 |    63.91 |
| Client 30 |    64.04 |      35.96 |    63.40 |
| Client 31 |    64.23 |      35.77 |    63.60 |
| Client 32 |    64.46 |      35.54 |    63.84 |
| Client 33 |    64.47 |      35.53 |    63.69 |
| Client 34 |    64.61 |      35.39 |    63.91 |
| Client 35 |    64.54 |      35.46 |    63.90 |
| Client 36 |    64.53 |      35.47 |    63.77 |
| Client 37 |    64.53 |      35.47 |    63.88 |
| Client 38 |    64.28 |      35.72 |    63.63 |
| Client 39 |    64.69 |      35.31 |    63.92 |
| Client 40 |    64.32 |      35.68 |    63.73 |
| Client 41 |    64.76 |      35.24 |    64.00 |
| Client 42 |    64.23 |      35.77 |    63.56 |
| Client 43 |    64.15 |      35.85 |    63.66 |
| Client 44 |    64.40 |      35.60 |    63.76 |
| Client 45 |    64.65 |      35.35 |    63.96 |
| Client 46 |    64.33 |      35.67 |    63.65 |
| Client 47 |    64.30 |      35.70 |    63.63 |
| Client 48 |    64.56 |      35.44 |    63.90 |
| Client 49 |    64.42 |      35.58 |    63.80 |
| Average   |    64.45 |      35.55 |    63.78 |
+-----------+----------+------------+----------+

2025-11-19 15:12:10 - 8_0.4_1 - INFO - 
2025-11-19 15:12:10 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 15:12:10 - 8_0.4_1 - INFO -                     TEST FINISH - Epoch 30/30
2025-11-19 15:12:10 - 8_0.4_1 - INFO -                     测试耗时: 361.76s
2025-11-19 15:12:10 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 15:12:10 - 8_0.4_1 - INFO - 
2025-11-19 15:12:10 - 8_0.4_1 - INFO - maximum test local acc: 64.661
2025-11-19 15:12:10 - 8_0.4_1 - INFO - mean of local acc: 64.532
2025-11-19 15:12:10 - 8_0.4_1 - INFO - maximum test neighbor acc: 64.446
2025-11-19 15:12:10 - 8_0.4_1 - INFO - mean of neighbor acc: 64.347
