2025-11-19 14:03:07 - 8_0.0_1 - INFO - ================================================
2025-11-19 14:03:07 - 8_0.0_1 - INFO - 日志文件已创建: logs/cifar-100/dpfpl/8_0.0_1_20251119_140307.log
2025-11-19 14:03:07 - 8_0.0_1 - INFO - ================================================
2025-11-19 14:03:07 - 8_0.0_1 - INFO - 
2025-11-19 14:03:07 - 8_0.0_1 - INFO - ======================================================================
2025-11-19 14:03:07 - 8_0.0_1 - INFO - 📋 实验配置摘要
2025-11-19 14:03:07 - 8_0.0_1 - INFO - ======================================================================
2025-11-19 14:03:07 - 8_0.0_1 - INFO -   Task ID:      [34/60]
2025-11-19 14:03:07 - 8_0.0_1 - INFO -   数据集:       cifar-100
2025-11-19 14:03:07 - 8_0.0_1 - INFO -   模型方法:     dpfpl
2025-11-19 14:03:07 - 8_0.0_1 - INFO -   Rank:         8
2025-11-19 14:03:07 - 8_0.0_1 - INFO -   噪声级别:     0.0
2025-11-19 14:03:07 - 8_0.0_1 - INFO -   随机种子:     1
2025-11-19 14:03:07 - 8_0.0_1 - INFO -   客户端数量:   50
2025-11-19 14:03:07 - 8_0.0_1 - INFO -   数据划分:     noniid-labeldir
2025-11-19 14:03:07 - 8_0.0_1 - INFO -   训练轮次:     30
2025-11-19 14:03:07 - 8_0.0_1 - INFO - ======================================================================
2025-11-19 14:03:07 - 8_0.0_1 - INFO - 
2025-11-19 14:03:07 - 8_0.0_1 - INFO - Loading trainer: DP_FPL
2025-11-19 14:03:07 - 8_0.0_1 - INFO - Loading dataset: Cifar100
2025-11-19 14:03:10 - 8_0.0_1 - INFO - Loading CLIP (backbone: ViT-B/16)
2025-11-19 14:03:13 - 8_0.0_1 - INFO - Building custom CLIP
2025-11-19 14:03:13 - 8_0.0_1 - INFO - Turning off gradients in both the image and the text encoder
2025-11-19 14:04:04 - 8_0.0_1 - INFO - [Epoch 1/30] 训练耗时: 50.45s | 平均训练准确率: 34.09
2025-11-19 14:04:52 - 8_0.0_1 - INFO - [Epoch 2/30] 训练耗时: 48.04s | 平均训练准确率: 47.50
2025-11-19 14:05:40 - 8_0.0_1 - INFO - [Epoch 3/30] 训练耗时: 47.76s | 平均训练准确率: 61.30
2025-11-19 14:06:29 - 8_0.0_1 - INFO - [Epoch 4/30] 训练耗时: 48.97s | 平均训练准确率: 64.58
2025-11-19 14:07:17 - 8_0.0_1 - INFO - [Epoch 5/30] 训练耗时: 48.24s | 平均训练准确率: 65.81
2025-11-19 14:08:06 - 8_0.0_1 - INFO - [Epoch 6/30] 训练耗时: 48.93s | 平均训练准确率: 66.34
2025-11-19 14:08:54 - 8_0.0_1 - INFO - [Epoch 7/30] 训练耗时: 48.11s | 平均训练准确率: 67.56
2025-11-19 14:09:41 - 8_0.0_1 - INFO - [Epoch 8/30] 训练耗时: 47.67s | 平均训练准确率: 67.61
2025-11-19 14:10:30 - 8_0.0_1 - INFO - [Epoch 9/30] 训练耗时: 48.78s | 平均训练准确率: 68.23
2025-11-19 14:11:19 - 8_0.0_1 - INFO - [Epoch 10/30] 训练耗时: 48.26s | 平均训练准确率: 68.50
2025-11-19 14:12:08 - 8_0.0_1 - INFO - [Epoch 11/30] 训练耗时: 49.03s | 平均训练准确率: 69.12
2025-11-19 14:12:56 - 8_0.0_1 - INFO - [Epoch 12/30] 训练耗时: 48.49s | 平均训练准确率: 69.12
2025-11-19 14:13:45 - 8_0.0_1 - INFO - [Epoch 13/30] 训练耗时: 48.73s | 平均训练准确率: 69.58
2025-11-19 14:14:34 - 8_0.0_1 - INFO - [Epoch 14/30] 训练耗时: 49.33s | 平均训练准确率: 69.42
2025-11-19 14:15:22 - 8_0.0_1 - INFO - [Epoch 15/30] 训练耗时: 47.93s | 平均训练准确率: 69.59
2025-11-19 14:16:11 - 8_0.0_1 - INFO - [Epoch 16/30] 训练耗时: 49.07s | 平均训练准确率: 69.98
2025-11-19 14:17:00 - 8_0.0_1 - INFO - [Epoch 17/30] 训练耗时: 48.48s | 平均训练准确率: 70.58
2025-11-19 14:17:48 - 8_0.0_1 - INFO - [Epoch 18/30] 训练耗时: 48.75s | 平均训练准确率: 70.39
2025-11-19 14:18:37 - 8_0.0_1 - INFO - [Epoch 19/30] 训练耗时: 48.94s | 平均训练准确率: 70.56
2025-11-19 14:19:26 - 8_0.0_1 - INFO - [Epoch 20/30] 训练耗时: 48.85s | 平均训练准确率: 70.69
2025-11-19 14:20:15 - 8_0.0_1 - INFO - [Epoch 21/30] 训练耗时: 49.04s | 平均训练准确率: 70.70
2025-11-19 14:21:05 - 8_0.0_1 - INFO - [Epoch 22/30] 训练耗时: 49.36s | 平均训练准确率: 70.73
2025-11-19 14:21:53 - 8_0.0_1 - INFO - [Epoch 23/30] 训练耗时: 48.43s | 平均训练准确率: 70.94
2025-11-19 14:22:42 - 8_0.0_1 - INFO - [Epoch 24/30] 训练耗时: 49.38s | 平均训练准确率: 71.02
2025-11-19 14:23:31 - 8_0.0_1 - INFO - [Epoch 25/30] 训练耗时: 48.45s | 平均训练准确率: 70.92
2025-11-19 14:24:20 - 8_0.0_1 - INFO - [Epoch 26/30] 训练耗时: 48.78s | 平均训练准确率: 71.27
2025-11-19 14:25:09 - 8_0.0_1 - INFO - [Epoch 27/30] 训练耗时: 48.91s | 平均训练准确率: 71.36
2025-11-19 14:25:57 - 8_0.0_1 - INFO - [Epoch 28/30] 训练耗时: 48.79s | 平均训练准确率: 71.98
2025-11-19 14:25:57 - 8_0.0_1 - INFO - 
2025-11-19 14:25:57 - 8_0.0_1 - INFO - ================================================================================
2025-11-19 14:25:57 - 8_0.0_1 - INFO -                     TEST START - Epoch 28/30
2025-11-19 14:25:57 - 8_0.0_1 - INFO - ================================================================================
2025-11-19 14:25:57 - 8_0.0_1 - INFO - 
2025-11-19 14:32:43 - 8_0.0_1 - INFO - 
================= Local Test Results ==================
+-----------+----------+------------+----------+
| Client    | Accuracy | Error Rate | Macro F1 |
2025-11-19 14:32:43 - 8_0.0_1 - INFO - 
2025-11-19 14:33:31 - 8_0.0_1 - INFO - [Epoch 29/30] 训练耗时: 48.39s | 平均训练准确率: 71.05
2025-11-19 14:33:31 - 8_0.0_1 - INFO - 
2025-11-19 14:33:31 - 8_0.0_1 - INFO - ================================================================================
2025-11-19 14:33:31 - 8_0.0_1 - INFO -                     TEST START - Epoch 29/30
2025-11-19 14:33:31 - 8_0.0_1 - INFO - ================================================================================
2025-11-19 14:33:31 - 8_0.0_1 - INFO - 
2025-11-19 14:40:16 - 8_0.0_1 - INFO - 
================= Local Test Results ==================
+-----------+----------+------------+----------+
| Client    | Accuracy | Error Rate | Macro F1 |
+-----------+----------+------------+----------+
| Client 0  |    65.00 |      35.00 |    67.50 |
| Client 1  |    78.95 |      21.05 |    73.33 |
| Client 2  |    59.46 |      40.54 |    67.42 |
| Client 3  |    64.71 |      35.29 |    61.67 |
| Client 4  |    65.71 |      34.29 |    61.36 |
| Client 5  |    80.00 |      20.00 |    80.11 |
| Client 6  |    75.00 |      25.00 |    61.36 |
| Client 7  |    69.05 |      30.95 |    68.06 |
| Client 8  |    68.18 |      31.82 |    68.79 |
| Client 9  |    77.78 |      22.22 |    77.35 |
| Client 10 |    69.57 |      30.43 |    67.16 |
| Client 11 |    77.50 |      22.50 |    80.34 |
| Client 12 |    68.09 |      31.91 |    70.56 |
| Client 13 |    65.71 |      34.29 |    59.30 |
| Client 14 |    72.00 |      28.00 |    70.00 |
| Client 15 |    57.50 |      42.50 |    51.27 |
| Client 16 |    65.85 |      34.15 |    56.53 |
| Client 17 |    65.91 |      34.09 |    71.41 |
| Client 18 |    60.98 |      39.02 |    60.11 |
| Client 19 |    65.91 |      34.09 |    67.71 |
| Client 20 |    71.43 |      28.57 |    67.58 |
| Client 21 |    74.36 |      25.64 |    72.50 |
| Client 22 |    79.07 |      20.93 |    78.78 |
| Client 23 |    69.23 |      30.77 |    66.89 |
| Client 24 |    73.33 |      26.67 |    77.46 |
| Client 25 |    58.33 |      41.67 |    53.87 |
| Client 26 |    63.27 |      36.73 |    62.72 |
| Client 27 |    62.79 |      37.21 |    59.67 |
| Client 28 |    75.00 |      25.00 |    72.54 |
| Client 29 |    53.66 |      46.34 |    51.72 |
| Client 30 |    71.43 |      28.57 |    72.50 |
| Client 31 |    76.74 |      23.26 |    75.63 |
| Client 32 |    72.22 |      27.78 |    72.00 |
| Client 33 |    60.98 |      39.02 |    63.08 |
| Client 34 |    69.23 |      30.77 |    68.33 |
| Client 35 |    67.44 |      32.56 |    70.80 |
| Client 36 |    78.95 |      21.05 |    86.07 |
| Client 37 |    74.29 |      25.71 |    78.57 |
| Client 38 |    82.61 |      17.39 |    80.61 |
| Client 39 |    62.50 |      37.50 |    64.59 |
| Client 40 |    76.32 |      23.68 |    72.04 |
| Client 41 |    59.52 |      40.48 |    63.56 |
| Client 42 |    82.61 |      17.39 |    78.24 |
| Client 43 |    80.56 |      19.44 |    79.42 |
| Client 44 |    54.76 |      45.24 |    53.15 |
| Client 45 |    61.29 |      38.71 |    65.94 |
| Client 46 |    65.71 |      34.29 |    62.18 |
| Client 47 |    67.74 |      32.26 |    73.89 |
| Client 48 |    66.67 |      33.33 |    60.95 |
| Client 49 |    72.16 |      27.84 |    69.99 |
| Average   |    69.14 |      30.86 |    68.33 |
+-----------+----------+------------+----------+

2025-11-19 14:40:16 - 8_0.0_1 - INFO - 
================= Neighbor Test Results ==================
+-----------+----------+------------+----------+
| Client    | Accuracy | Error Rate | Macro F1 |
+-----------+----------+------------+----------+
| Client 0  |    68.94 |      31.06 |    68.67 |
| Client 1  |    68.85 |      31.15 |    68.70 |
| Client 2  |    69.13 |      30.87 |    68.82 |
| Client 3  |    69.07 |      30.93 |    68.85 |
| Client 4  |    69.06 |      30.94 |    68.88 |
| Client 5  |    68.72 |      31.28 |    68.42 |
| Client 6  |    68.93 |      31.07 |    68.83 |
| Client 7  |    69.10 |      30.90 |    68.87 |
| Client 8  |    69.17 |      30.83 |    69.00 |
| Client 9  |    69.04 |      30.96 |    68.78 |
| Client 10 |    69.14 |      30.86 |    68.97 |
| Client 11 |    68.98 |      31.02 |    68.87 |
| Client 12 |    69.28 |      30.72 |    69.01 |
| Client 13 |    69.21 |      30.79 |    69.08 |
| Client 14 |    69.11 |      30.89 |    69.04 |
| Client 15 |    69.54 |      30.46 |    69.29 |
| Client 16 |    69.37 |      30.63 |    69.12 |
| Client 17 |    69.53 |      30.47 |    69.38 |
| Client 18 |    69.73 |      30.27 |    69.61 |
| Client 19 |    69.79 |      30.21 |    69.33 |
| Client 20 |    69.82 |      30.18 |    69.69 |
| Client 21 |    69.71 |      30.29 |    69.52 |
| Client 22 |    69.65 |      30.35 |    69.49 |
| Client 23 |    69.96 |      30.04 |    69.86 |
| Client 24 |    69.77 |      30.23 |    69.66 |
| Client 25 |    70.11 |      29.89 |    69.89 |
| Client 26 |    70.02 |      29.98 |    69.65 |
| Client 27 |    70.01 |      29.99 |    69.89 |
| Client 28 |    69.76 |      30.24 |    69.59 |
| Client 29 |    70.19 |      29.81 |    70.03 |
| Client 30 |    69.82 |      30.18 |    69.67 |
| Client 31 |    69.70 |      30.30 |    69.65 |
| Client 32 |    69.86 |      30.14 |    69.83 |
| Client 33 |    70.19 |      29.81 |    69.91 |
| Client 34 |    69.96 |      30.04 |    69.81 |
| Client 35 |    70.01 |      29.99 |    69.89 |
| Client 36 |    69.83 |      30.17 |    69.62 |
| Client 37 |    69.92 |      30.08 |    69.79 |
| Client 38 |    69.70 |      30.30 |    69.60 |
| Client 39 |    70.15 |      29.85 |    69.96 |
| Client 40 |    69.83 |      30.17 |    69.71 |
| Client 41 |    70.22 |      29.78 |    70.08 |
| Client 42 |    69.70 |      30.30 |    69.66 |
| Client 43 |    69.76 |      30.24 |    69.71 |
| Client 44 |    70.33 |      29.67 |    70.10 |
| Client 45 |    70.09 |      29.91 |    69.87 |
| Client 46 |    70.03 |      29.97 |    69.87 |
| Client 47 |    70.09 |      29.91 |    69.84 |
| Client 48 |    70.21 |      29.79 |    70.10 |
| Client 49 |    70.05 |      29.95 |    69.92 |
| Average   |    69.64 |      30.36 |    69.47 |
+-----------+----------+------------+----------+

2025-11-19 14:40:16 - 8_0.0_1 - INFO - 
2025-11-19 14:40:16 - 8_0.0_1 - INFO - ================================================================================
2025-11-19 14:40:16 - 8_0.0_1 - INFO -                     TEST FINISH - Epoch 29/30
2025-11-19 14:40:16 - 8_0.0_1 - INFO -                     测试耗时: 404.58s
2025-11-19 14:40:16 - 8_0.0_1 - INFO - ================================================================================
2025-11-19 14:40:16 - 8_0.0_1 - INFO - 
2025-11-19 14:41:04 - 8_0.0_1 - INFO - [Epoch 30/30] 训练耗时: 48.01s | 平均训练准确率: 70.05
2025-11-19 14:41:04 - 8_0.0_1 - INFO - 
2025-11-19 14:41:04 - 8_0.0_1 - INFO - ================================================================================
2025-11-19 14:41:04 - 8_0.0_1 - INFO -                     TEST START - Epoch 30/30
2025-11-19 14:41:04 - 8_0.0_1 - INFO - ================================================================================
2025-11-19 14:41:04 - 8_0.0_1 - INFO - 
2025-11-19 14:47:48 - 8_0.0_1 - INFO - 
================= Local Test Results ==================
+-----------+----------+------------+----------+
| Client    | Accuracy | Error Rate | Macro F1 |
+-----------+----------+------------+----------+
| Client 0  |    70.00 |      30.00 |    73.75 |
| Client 1  |    78.95 |      21.05 |    73.33 |
| Client 2  |    59.46 |      40.54 |    67.42 |
| Client 3  |    64.71 |      35.29 |    61.67 |
| Client 4  |    65.71 |      34.29 |    61.36 |
| Client 5  |    82.50 |      17.50 |    82.35 |
| Client 6  |    77.50 |      22.50 |    66.67 |
| Client 7  |    69.05 |      30.95 |    68.06 |
| Client 8  |    68.18 |      31.82 |    68.79 |
| Client 9  |    77.78 |      22.22 |    77.35 |
| Client 10 |    69.57 |      30.43 |    67.16 |
| Client 11 |    75.00 |      25.00 |    79.06 |
| Client 12 |    65.96 |      34.04 |    67.61 |
| Client 13 |    68.57 |      31.43 |    59.83 |
| Client 14 |    72.00 |      28.00 |    70.00 |
| Client 15 |    57.50 |      42.50 |    51.27 |
| Client 16 |    65.85 |      34.15 |    56.53 |
| Client 17 |    65.91 |      34.09 |    69.62 |
| Client 18 |    63.41 |      36.59 |    62.26 |
| Client 19 |    65.91 |      34.09 |    67.71 |
| Client 20 |    73.81 |      26.19 |    70.15 |
| Client 21 |    74.36 |      25.64 |    72.50 |
| Client 22 |    79.07 |      20.93 |    78.78 |
| Client 23 |    66.67 |      33.33 |    64.22 |
| Client 24 |    73.33 |      26.67 |    77.46 |
| Client 25 |    55.56 |      44.44 |    49.87 |
| Client 26 |    61.22 |      38.78 |    60.50 |
| Client 27 |    62.79 |      37.21 |    59.67 |
| Client 28 |    72.22 |      27.78 |    70.87 |
| Client 29 |    53.66 |      46.34 |    52.30 |
| Client 30 |    73.81 |      26.19 |    73.21 |
| Client 31 |    74.42 |      25.58 |    72.18 |
| Client 32 |    75.00 |      25.00 |    73.33 |
| Client 33 |    60.98 |      39.02 |    64.36 |
| Client 34 |    69.23 |      30.77 |    68.97 |
| Client 35 |    69.77 |      30.23 |    74.37 |
| Client 36 |    78.95 |      21.05 |    86.07 |
| Client 37 |    74.29 |      25.71 |    78.57 |
| Client 38 |    80.43 |      19.57 |    78.99 |
| Client 39 |    65.00 |      35.00 |    65.28 |
| Client 40 |    73.68 |      26.32 |    70.79 |
| Client 41 |    66.67 |      33.33 |    69.89 |
| Client 42 |    82.61 |      17.39 |    78.24 |
| Client 43 |    80.56 |      19.44 |    79.42 |
| Client 44 |    54.76 |      45.24 |    54.13 |
| Client 45 |    64.52 |      35.48 |    70.29 |
| Client 46 |    65.71 |      34.29 |    62.18 |
| Client 47 |    64.52 |      35.48 |    68.89 |
| Client 48 |    66.67 |      33.33 |    58.33 |
| Client 49 |    74.23 |      25.77 |    70.93 |
| Average   |    69.44 |      30.56 |    68.53 |
+-----------+----------+------------+----------+

